编号,葡萄酒英文名,葡萄酒中文名,官方网站,类型(Red Wine红葡萄酒/White Wine白葡萄酒/Rose Wine粉红葡萄酒/Sparking Wine起泡酒/Port Wine波特酒/Sherry Wine雪利酒/Fortified Wine加强酒/Sweet Wine甜酒/Others其它),产区（France/Bordeaux/Haut-Médoc/Margaux）,产区（法国/波尔多/上梅多克/玛歌）,酒庄英文名,酒庄中文名,年份,适饮年份（2001-2002）,酒精度,葡萄品种／含量,容量,评分
ASC001,Trimbach Pinot Blanc,婷芭克世家白皮诺,http://www.maison-trimbach.com/,白葡萄酒,Alsace,,Maison Trimbach,婷芭克世家,2008,,,Pinot Blanc,750,
ASC0002,Trimbach Riesling,婷芭克世家薏丝琳,http://www.maison-trimbach.com/,白葡萄酒,Alsace,,Maison Trimbach,婷芭克世家,2008,,,Riesling,750,
ASC0003,Trimbach Gewurztraminer,婷芭克世家格乌兹莱妮,http://www.maison-trimbach.com/,白葡萄酒,Alsace,,Maison Trimbach,婷芭克世家,2008,,,Gewurztraminer,750,
ASC0004,Trimbach Pinot Gris Réserve,婷芭克世家阿尔萨斯灰皮诺,http://www.maison-trimbach.com/,白葡萄酒,Alsace,,Maison Trimbach,婷芭克世家,2005,,,Pinot Gris,750,
ASC0005,Trimbach Gewurztraminer Cuvée des Seigneurs de Ribeaupierre,婷芭克世家特酿格乌兹莱妮,http://www.maison-trimbach.com/,白葡萄酒,Alsace,,Maison Trimbach,婷芭克世家,2005,,,Gewurztraminer,750,
ASC0006,Trimbach Riesling Cuvée Frédéric Émile,婷芭克世家特酿薏丝琳,http://www.maison-trimbach.com/,白葡萄酒,Alsace,,Maison Trimbach,婷芭克世家,2005,,,Riesling,750,
ASC0007,Trimbach Gewurztraminer Vendanges Tardives,婷芭克世家格乌兹莱妮(晚收型),http://www.maison-trimbach.com/,甜酒,Alsace,,Maison Trimbach,婷芭克世家,2005,,,Gewurztraminer,750,
ASC0008,Trimbach Clos Ste. Hune Riesling,婷芭克世家圣桅楼葡萄园薏丝琳,http://www.maison-trimbach.com/,白葡萄酒,Alsace,,Maison Trimbach,婷芭克世家,2003,,,Riesling,750,
ASC0009,Trimbach Pinot Noir Réserve,婷芭克世家精选黑皮诺,http://www.maison-trimbach.com/,红葡萄酒,Alsace,,Maison Trimbach,婷芭克世家,2010,,,Pinot Noir,750,
ASC0010,Anwilka,,http://www.fideliswines.com/,红葡萄酒,Constantia,,Anwilka,,2009,,14.60%,"Syrah/56%
Cabernet Sauvignon/44%",750,
ASC0011,Ugaba,,http://www.fideliswines.com/,红葡萄酒,Constantia,,Anwilka,,2009,,14.50%,"Syrah/69%
Cabernet Sauvignon/31%",750,
ASC0012,Amododa,,http://www.fideliswines.com/,红葡萄酒,Constantia,,Anwilka,,2009,,14.50%,"Cabernet Sauvignon/77%
Merlot/14%
Syrah/9%",750,
ASC0013,Chryseia,,http://www.fideliswines.com/,红葡萄酒,Douro,,Prats&Symington,,2008,,14.10%,"Touriga Nacional/50%
Touriga Francesa/50%",750,
ASC0014,Prazo de Roriz,,http://www.fideliswines.com/,红葡萄酒,Douro,,Prats&Symington,,2009,,13.90%,"Tinta Barroca/36%
Tinta Roriz/31%
Tinta Francisca/10%
Touriga Nacional/9%
Touriga Franca/9%
Outras/5%",750,
ASC0015,Post Scriptum,,http://www.fideliswines.com/,红葡萄酒,Douro,,Prats&Symington,,2009,,14.10%,"Touriga Nacional/41%
Touriga Franca/36%
Tinta Roriz/14%
Tinta Barroca/9%",750,
ASC0016,Aquitania,,http://www.fideliswines.com/,红葡萄酒,Maipo,,Viña Aquitania,,2009,,14%,"Cabernet Sauvignon/89%
Syrah/11%",750,
ASC0017,Lazuli,,http://www.fideliswines.com/,红葡萄酒,Maipo,,Viña Aquitania,,2005,,14%,Cabernet Sauvignon/100%,750,
ASC0018,SOLdeSOL Chardonnay,,http://www.fideliswines.com/,白葡萄酒,Malleco,,Viña Aquitania,,2008,,13.40%,Chardonnay/100%,750,
ASC0019,SOLdeSOL Pinot Noir,,http://www.fideliswines.com/,红葡萄酒,Malleco,,Viña Aquitania,,2008,,14%,Pinot Noir/100%,750,
ASC0020,AlFYnal,,http://www.fideliswines.com/,红葡萄酒,,,Iberica Bruno Prats,,2009,,,Monastrell/100%,750,
ASC0021,MosYca,,http://www.fideliswines.com/,红葡萄酒,,,Iberica Bruno Prats,,2009,,,"Syrah/30%
Monastrell/25%
Cabernet Sauvignon/25%
Petit Verdot/20%",750,
ASC0022,"Karia Chardonnay SL206 Artemis Cabernet Sauvignon",嘉瑞莎当妮,http://stagsleap.com/,白葡萄酒,Napa,,Stag’s Leap,鹿跃酒窖,2007,,,,750,
ASC0023,Artemis Cabernet Sauvignon,狩猎神加本力苏维翁,http://stagsleap.com/,红葡萄酒,Napa,,Stag’s Leap,鹿跃酒窖,2007,,,,750,
ASC0024,Fay Estate Cabernet Sauvignon,费氏庄园加本力苏维翁,http://stagsleap.com/,红葡萄酒,Napa,,Stag’s Leap,鹿跃酒窖,2008,,,,750,
ASC0025,S.L.V. Estate Cabernet Sauvignon ,鹿跃庄园加本力苏维翁,http://stagsleap.com/,红葡萄酒,Napa,,Stag’s Leap,鹿跃酒窖,2008,,,,750,
ASC0026,Cask 23 Estate Cabernet Sauvignon,窖藏23庄园加本力苏维翁,http://stagsleap.com/,红葡萄酒,Napa,,Stag’s Leap,鹿跃酒窖,2005,,,,750,
ASC0027,Innisfree Cabernet Sauvignon,安妮斯菲加本力苏维翁/翡翠,http://www.jpvwines.com/,红葡萄酒,,,,,,,,,750,
ASC0028,Joseph Phelps Cabernet Sauvignon,约瑟夫菲尔普斯酒园加本力苏维翁,http://www.jpvwines.com/,红葡萄酒,,,,,,,,,750,
ASC0029,Insignia,勋章,http://www.jpvwines.com/,红葡萄酒,,,,,,,,,750,
ASC0030,Shafer Merlot,思福酒园梅洛,http://www.shafervineyards.com/,红葡萄酒,Napa,,Shafer,思福酒园,2006,,,,750,
ASC0031,Shafer One Point Five Cabernet Sauvignon,思福酒园传世加本力苏维翁,http://www.shafervineyards.com/,红葡萄酒,Napa,,Shafer,思福酒园,2006,,,,750,
ASC0032,Shafer Hillside Select Cabernet Sauvignon,思福酒园山边精选加本力苏维翁,http://www.shafervineyards.com/,红葡萄酒,Napa,,Shafer,思福酒园,2006,,,,750,
ASC0033,Cakebread Cellar Napa Valley Sauvignon Blanc,卡布瑞酒窖纳柏谷白苏维翁,http://www.cakebread.com/,白葡萄酒,Napa,,Cakebread Cellars,卡布瑞酒窖,2008,,,,750,
ASC0034,Cakebread Cellar Napa Valley Chardonnay,卡布瑞酒窖纳柏谷莎当妮,http://www.cakebread.com/,白葡萄酒,Napa,,Cakebread Cellars,卡布瑞酒窖,2007,,,,750,
ASC0035,Cakebread Cellar Napa Valley Merlot,卡布瑞酒窖纳柏谷梅洛,http://www.cakebread.com/,红葡萄酒,Napa,,Cakebread Cellars,卡布瑞酒窖,2008,,,,750,
ASC0036,Cakebread Cellar Napa Valley Cabernet Sauvignon,卡布瑞酒窖纳柏谷加本力苏维翁,http://www.cakebread.com/,红葡萄酒,Napa,,Cakebread Cellars,卡布瑞酒窖,2005,,,,750,
ASC0037,Cakebread Cellar Dancing Bear Ranch,卡布瑞酒窖熊之舞,http://www.cakebread.com/,红葡萄酒,Napa,,Cakebread Cellars,卡布瑞酒窖,2006,,,,750,
ASC0038,Domaine Ste. Michelle Blanc De Noirs,圣密夕葡萄园玫瑰起泡酒,http://www.ste-michelle.com/,起泡酒,Columbia Valley,,Chateau Ste. Michelle,圣密夕葡萄园,NV,,,,750,
ASC0039,Domaine Ste. Michelle Brut,圣密夕葡萄园干起泡酒,http://www.ste-michelle.com/,起泡酒,Columbia Valley,,Chateau Ste. Michelle,圣密夕葡萄园,NV,,,,750,
ASC0040,Stimson Estate Cellars Chardonnay,庄园酒窖莎当妮,http://www.ste-michelle.com/,白葡萄酒,Columbia Valley,,Chateau Ste. Michelle,圣密夕葡萄园,2010,,,,750,
ASC0041,Stimson Estate Cellars Merlot,庄园酒窖梅洛,http://www.ste-michelle.com/,红葡萄酒,Columbia Valley,,Chateau Ste. Michelle,圣密夕葡萄园,2009,,,,750,
ASC0042,Stimson Estate Cellars Cabernet Sauvignon,庄园酒窖加本力苏维翁,http://www.ste-michelle.com/,红葡萄酒,Columbia Valley,,Chateau Ste. Michelle,圣密夕葡萄园,2009,,,,750,
ASC0043,Chateau Ste. Michelle Gewurztraminer,圣密夕葡萄园琼瑶浆,http://www.ste-michelle.com/,白葡萄酒,Columbia Valley,,Chateau Ste. Michelle,圣密夕葡萄园,2009,,,,750,
ASC0044,Chateau Ste. Michelle Riesling,圣密夕葡萄园薏丝琳,http://www.ste-michelle.com/,白葡萄酒,Columbia Valley,,Chateau Ste. Michelle,圣密夕葡萄园,2010,,,,750,
ASC0045,Chateau Ste. Michelle Chardonnay,圣密夕葡萄园莎当妮,http://www.ste-michelle.com/,白葡萄酒,Columbia Valley,,Chateau Ste. Michelle,圣密夕葡萄园,2010,,,,750,
ASC0046,Chateau Ste. Michelle Cabernet Sauvignon,圣密夕葡萄园加本力苏维翁,http://www.ste-michelle.com/,红葡萄酒,Columbia Valley,,Chateau Ste. Michelle,圣密夕葡萄园,2008,,,,750,
ASC0047,Chateau Ste. Michelle Merlot,圣密夕葡萄园梅洛,http://www.ste-michelle.com/,红葡萄酒,Columbia Valley,,Chateau Ste. Michelle,圣密夕葡萄园,2007,,,,750,
ASC0048,Canoe Ridge Merlot,圣密夕葡萄园木舟葡萄园梅洛,http://www.ste-michelle.com/,红葡萄酒,Columbia Valley,,Chateau Ste. Michelle,圣密夕葡萄园,2008,,,,750,
ASC0049,Cold Creek Cabernet Sauvignon,圣密夕葡萄园冰河谷赤霞珠,http://www.ste-michelle.com/,红葡萄酒,Columbia Valley,,Chateau Ste. Michelle,圣密夕葡萄园,2007,,,,750,
ASC0050,Maison Leroy Bourgogne Blanc AOC,勒桦酒庄勃根蒂,http://www.domaine-leroy.com/,白葡萄酒,Bourgogne,,Leroy,勒桦酒庄,2009,,,Chardonnay/100%,750,
ASC0051,Maison Leroy Meursault Villages AOC,勒桦酒庄莫索,http://www.domaine-leroy.com/,白葡萄酒,Meursault,,Leroy,勒桦酒庄,2009,,,Chardonnay/100%,750,
ASC0052,Maison Leroy Puligny Montrachet AOC,勒桦酒庄布里尼蒙丽榭,http://www.domaine-leroy.com/,白葡萄酒,Puligny Montrachet,,Leroy,勒桦酒庄,2009,,,Chardonnay/100%,750,
ASC0053,Maison Leroy Chassagne-Montrachet 1er Cru Les Embrazées AOC,勒桦酒庄夏莎妮蒙丽榭法定产区相拥园,http://www.domaine-leroy.com/,白葡萄酒,Chassagne-Montrachet 1er Cru,,Leroy,勒桦酒庄,2009,,,Chardonnay/100%,750,
ASC0054,Maison Leroy Meursault 1er Cru Les Charmes AOC,勒桦酒庄莫索法定产区魅力园,http://www.domaine-leroy.com/,白葡萄酒,Meursault 1er Cru,,Leroy,勒桦酒庄,2009,,,Chardonnay/100%,750,
ASC0055,Maison Leroy Chassagne Montrachet 1er Cru Morgeot AOC,勒桦酒庄夏莎妮蒙丽榭一级园莫格奥,http://www.domaine-leroy.com/,白葡萄酒, Chassagne Montrachet 1er Cru,,Leroy,勒桦酒庄,2009,,,Chardonnay/100%,750,
ASC0056,Maison Leroy Bourgogne Red AOC,勒桦酒庄勃根蒂,http://www.domaine-leroy.com/,红葡萄酒,Bourgogne,,Leroy,勒桦酒庄,2009,,,Pinot Noir/100%,750,
ASC0057,Maison Leroy Côte de Beaune-Villages AOC,勒桦酒庄布蒙之谷村,http://www.domaine-leroy.com/,红葡萄酒,Côte de Beaune,,Leroy,勒桦酒庄,2009,,,Pinot Noir/100%,750,
ASC0058,Maison Leroy Volnay AOC,勒桦酒庄卧龙内,http://www.domaine-leroy.com/,红葡萄酒,Volnay,,Leroy,勒桦酒庄,2009,,,Pinot Noir/100%,750,
ASC0059,Maison Leroy Pommard 1er Cru AOC,勒桦酒庄波梅德,http://www.domaine-leroy.com/,红葡萄酒,Pommard,,Leroy,勒桦酒庄,2009,,,Pinot Noir/100%,750,
ASC0060,Maison Leroy Nuits-Saint-Georges AOC,勒桦酒庄纳斯乔治,http://www.domaine-leroy.com/,红葡萄酒,Nuits-Saint-Georges,,Leroy,勒桦酒庄,2009,,,Pinot Noir/100%,750,
ASC0061,Maison Leroy Vosne-Romanée AOC,勒桦酒庄福侯蔓内,http://www.domaine-leroy.com/,红葡萄酒,Vosne-Romanée,,Leroy,勒桦酒庄,2009,,,Pinot Noir/100%,750,
ASC0062,Domaine Leroy Bourgogne Red AOC,勒桦酒庄勒桦红封勃根蒂,http://www.domaine-leroy.com/,红葡萄酒,Bourgogne,,Leroy,勒桦酒庄,2009,,,Pinot Noir/100%,750,
ASC0063,Domaine Leroy Vosne-Romanée AOC,勒桦酒庄勒桦红封福侯蔓内,http://www.domaine-leroy.com/,红葡萄酒,Vosne-Romanée,,Leroy,勒桦酒庄,2009,,,Pinot Noir/100%,750,
ASC0064,Domaine Leroy Gevrey-Chambertin AOC,勒桦酒庄勒桦红封热弗雷香贝坦,http://www.domaine-leroy.com/,红葡萄酒,Gevrey-Chambertin,,Leroy,勒桦酒庄,2009,,,Pinot Noir/100%,750,
ASC0065,Domaine Leroy Nuits-St-Georges AOC,勒桦酒庄勒桦红封纳斯乔治,http://www.domaine-leroy.com/,红葡萄酒,Nuits-St-Georges,,Leroy,勒桦酒庄,2009,,,Pinot Noir/100%,750,
ASC0066,Maison E.Guigal Côtes du Rhône Blanc AOC,吉佳乐世家罗纳山麓,http://www.guigal.com/,白葡萄酒,Côtes du Rhône,,Maison E.Guigal,吉佳乐世家],2010,,,,750,
ASC0067,Maison E.Guigal Crozes-Hermitage Blanc AOC,吉佳乐世家克罗斯-艾米塔吉,http://www.guigal.com/,白葡萄酒,Crozes-Hermitage,,Maison E.Guigal,吉佳乐世家],2009,,,,750,
ASC0068,Maison E.Guigal Saint-Joseph Blanc AOC,吉佳乐世家圣约瑟夫,http://www.guigal.com/,白葡萄酒,Saint-Joseph,,Maison E.Guigal,吉佳乐世家],2010,,,,750,
ASC0069,Maison E.Guigal Condrieu AOC,吉佳乐世家孔德里欧,http://www.guigal.com/,白葡萄酒,Condrieu,,Maison E.Guigal,吉佳乐世家],2009,,,,750,
ASC0070,Maison E.Guigal Hermitage Blanc AOC,吉佳乐世家艾米塔吉,http://www.guigal.com/,白葡萄酒,Hermitage,,Maison E.Guigal,吉佳乐世家],2006,,,,750,
ASC0071,Maison E.Guigal Condrieu La Doriane Single Cru AOC,吉佳乐世家康德吕多瑞安,http://www.guigal.com/,白葡萄酒,Condrieu,,Maison E.Guigal,吉佳乐世家],2006,,,,750,
ASC0072,Maison E.Guigal Tavel AOC,吉佳乐世家达维,http://www.guigal.com/,粉红葡萄酒,Tavel,,Maison E.Guigal,吉佳乐世家],2010,,,,750,
ASC0073,Maison E.Guigal Côtes du Rhône AOC,吉佳乐世家罗纳山麓,http://www.guigal.com/,红葡萄酒,Côtes du Rhône,,Maison E.Guigal,吉佳乐世家],2007,,,,750,
ASC0074,Maison E.Guigal Crozes-Hermitage Rouge AOC,吉佳乐世家克罗斯-艾米塔吉,http://www.guigal.com/,红葡萄酒,Crozes-Hermitage,,Maison E.Guigal,吉佳乐世家],2007,,,,750,
ASC0075,Maison E.Guigal Gigondas AOC,吉佳乐世家吉贡达,http://www.guigal.com/,红葡萄酒,Gigondas,,Maison E.Guigal,吉佳乐世家],2007,,,,750,
ASC0076,Maison E.Guigal Saint-Joseph Rouge AOC,吉佳乐世家圣约瑟夫,http://www.guigal.com/,红葡萄酒,Saint-Joseph,,Maison E.Guigal,吉佳乐世家],2008,,,,750,
ASC0077,Maison E.Guigal Châteauneuf-du-Pape AOC,吉佳乐世家教皇新堡,http://www.guigal.com/,红葡萄酒,Châteauneuf-du-Pape,,Maison E.Guigal,吉佳乐世家],2008,,,,750,
ASC0078,Maison E.Guigal Côte-Rôtie Brune et Blonde AOC,吉佳乐世家露迪山麓,http://www.guigal.com/,红葡萄酒,Côte-Rôtie,,Maison E.Guigal,吉佳乐世家],2005,,,,750,
ASC0079,Maison E.Guigal Hermitage Rouge AOC,吉佳乐世家艾米塔吉,http://www.guigal.com/,红葡萄酒,Hermitage,,Maison E.Guigal,吉佳乐世家],2004,,,,750,
ASC0080,Maison E.Guigal Côte-Rôtie Château d'Ampuis AOC,吉佳乐世家阿布斯城堡露迪山麓,http://www.guigal.com/,红葡萄酒,Côte-Rôtie,,Maison E.Guigal,吉佳乐世家],2002,,,Syrah/100%,750,
ASC0081,Maison E.Guigal Côte-Rôtie Côte Blonde La Mouline AOC,吉佳乐世家穆林金色山丘露迪山麓,http://www.guigal.com/,红葡萄酒,Côte-Rôtie,,Maison E.Guigal,吉佳乐世家],2005,,,Syrah/100%,750,
ASC0082,Maison E.Guigal Côte-Rôtie Côte Brune La Turque AOC,吉佳乐世家土耳其褐色山丘露迪山麓,http://www.guigal.com/,红葡萄酒,Côte-Rôtie,,Maison E.Guigal,吉佳乐世家],2005,,,Syrah/100%,750,
ASC0083,Maison E.Guigal Côte-Rôtie La Landonne AOC,吉佳乐世家朗德葡萄园露迪山麓,http://www.guigal.com/,红葡萄酒,Côte-Rôtie,,Maison E.Guigal,吉佳乐世家],2005,,,Syrah/100%,750,
ASC0084,Private Release Chardonnay,精选莎当妮,http://www.penfolds.com/,白葡萄酒,,,Penfolds,奔富酒园,2010,,,,750,
ASC0085,Private Release Shiraz Cabernet,精选设拉子加本力,http://www.penfolds.com/,红葡萄酒,,,Penfolds,奔富酒园,2010,,,,750,
ASC0086,Rawson's Retreat Riesling,洛神山庄薏丝琳,http://www.penfolds.com/,白葡萄酒,,,Penfolds,奔富酒园,2010,,,,750,
ASC0087,Rawson's Retreat Semillon Chardonnay,洛神山庄瑟美戎莎当妮,http://www.penfolds.com/,白葡萄酒,,,Penfolds,奔富酒园,2010,,,,750,
ASC0088,Rawson's Retreat Cabernet Sauvignon,洛神山庄加本力苏维翁,http://www.penfolds.com/,红葡萄酒,,,Penfolds,奔富酒园,2010,,,,750,
ASC0089,Rawson's Retreat Shiraz Cabernet,洛神山庄设拉子加本力,http://www.penfolds.com/,红葡萄酒,,,Penfolds,奔富酒园,2010,,,,750,
ASC0090,Rawson's Retreat Merlot,洛神山庄梅洛,http://www.penfolds.com/,红葡萄酒,,,Penfolds,奔富酒园,2010,,,,750,
ASC0091,Koonunga Hill Chardonnay,蔻兰山莎当妮,http://www.penfolds.com/,白葡萄酒,,,Penfolds,奔富酒园,2010,,,,750,
ASC0092,Koonunga Hill Semillon Sauvignon Blanc,蔻兰山瑟美戎白苏维翁,http://www.penfolds.com/,白葡萄酒,,,Penfolds,奔富酒园,2010,,,,750,
ASC0093,Koonunga Hill Shiraz Cabernet,蔻兰山设拉子加本力,http://www.penfolds.com/,红葡萄酒,,,Penfolds,奔富酒园,2010,,,,750,
ASC0094,Koonunga Hill Cabernet Merlot,蔻兰山加本力梅洛,http://www.penfolds.com/,红葡萄酒,,,Penfolds,奔富酒园,2010,,,,750,
ASC0095,Koonunga Hill Shiraz,蔻兰山设拉子,http://www.penfolds.com/,红葡萄酒,,,Penfolds,奔富酒园,2009,,,,750,
ASC0096,Koonunga Hill 'Seventy Six' Shiraz Cabernet,蔻兰山76设拉子加本力,http://www.penfolds.com/,红葡萄酒,,,Penfolds,奔富酒园,2010,,,,750,
ASC0097,Thomas Hyland Chardonnay,托马斯海蓝莎当妮,http://www.penfolds.com/,白葡萄酒,,,Penfolds,奔富酒园,2010,,,,750,
ASC0098,Thomas Hyland Shiraz,托马斯海蓝设拉子,http://www.penfolds.com/,红葡萄酒,,,Penfolds,奔富酒园,2010,,,,750,
ASC0099,Thomas Hyland Cabernet Sauvignon,托马斯海蓝加本力苏维翁,http://www.penfolds.com/,红葡萄酒,,,Penfolds,奔富酒园,2009,,,,750,
ASC0100,Bin 51 Eden Valley Riesling ,Bin 51薏丝琳,http://www.penfolds.com/,白葡萄酒,,,Penfolds,奔富酒园,2007,,,,750,
ASC0101,Bin 311 Tumbarumba Chardonnay,Bin 311莎当妮,http://www.penfolds.com/,红葡萄酒,,,Penfolds,奔富酒园,2010,,,,750,
ASC0102,Bin 8 Cabernet Shiraz,Bin 8加本力设拉子,http://www.penfolds.com/,红葡萄酒,,,Penfolds,奔富酒园,2009,,,,750,
ASC0103,Bin 128 Coonawarra Shiraz,Bin 128库纳瓦拉设拉子,http://www.penfolds.com/,红葡萄酒,,,Penfolds,奔富酒园,2009,,,,750,
ASC0104,Bin 28 Kalimna Shiraz,Bin 28卡琳娜设拉子,http://www.penfolds.com/,红葡萄酒,,,Penfolds,奔富酒园,2008,,,,750,
ASC0105,Bin 138 Old Vine Barossa Valley SGM,Bin 138,http://www.penfolds.com/,红葡萄酒,,,Penfolds,奔富酒园,2009,,,,750,
ASC0106,Bin 407 Cabernet Sauvignon,Bin 407加本力苏维翁,http://www.penfolds.com/,红葡萄酒,,,Penfolds,奔富酒园,2008,,,,750,
ASC0107,Bin 389 Cabernet Shiraz,Bin 389加本力设拉子,http://www.penfolds.com/,红葡萄酒,,,Penfolds,奔富酒园,2008,,,,750,
ASC0108,Yattarna Chardonnay,雅塔娜莎当妮/白葛兰许,http://www.penfolds.com/,白葡萄酒,,,Penfolds,奔富酒园,2007,,,,750,
ASC0109,St. Henri Shiraz,圣亨利设拉子/和平天使,http://www.penfolds.com/,红葡萄酒,,,Penfolds,奔富酒园,2007,,,,750,
ASC0110,Magill Estate Shiraz,玛格尔庄园设拉子/故乡红,http://www.penfolds.com/,红葡萄酒,,,Penfolds,奔富酒园,2008,,,,750,
ASC0111,RWT Barossa Valley Shiraz,RWT 设拉子/原创设拉子,http://www.penfolds.com/,红葡萄酒,,,Penfolds,奔富酒园,2006,,,,750,
ASC0112,Bin 707 Cabernet Sauvignon,Bin 707加本力苏维翁,http://www.penfolds.com/,红葡萄酒,,,Penfolds,奔富酒园,2006,,,,750,
ASC113,Bin 620 Coonawarra Cabernet Shiraz,Bin 620 库纳瓦拉加本力设拉子,http://www.penfolds.com/,红葡萄酒,,,Penfolds,奔富酒园,2008,,,,750,
ASC114,Club Tawny Port,俱乐部汤尼钵酒,http://www.penfolds.com/,加强酒,,,Penfolds,奔富酒园,NV,,,,750,
ASC115,Club Reserve Aged Tawny Port,俱乐部特酿陈年汤尼钵酒,http://www.penfolds.com/,加强酒,,,Penfolds,奔富酒园,NV,,,,750,
ASC116,Grandfather Fine Old Liqueur Tawny Port Giftbox,祖父精选陈年钵酒礼盒,http://www.penfolds.com/,加强酒,,,Penfolds,奔富酒园,NV,,,,750,
ASC117,Hanlin Hill Riesling ,翰林山薏丝琳,http://www.petaluma.com.au/,白葡萄酒,,,Petaluma,葡萄之路 ,2010,,,,750,
ASC118,Adelaide Hills Viognier,阿德雷德山薇优尼,http://www.petaluma.com.au/,白葡萄酒,Adelaide Hill,,Petaluma,葡萄之路 ,2007,,,,750,
ASC119,Piccadilly Valley Chardonnay,皮卡迪利谷莎当妮/迷宫,http://www.petaluma.com.au/,白葡萄酒,Piccadilly Valley,,Petaluma,葡萄之路 ,2009,,,,750,
ASC120,Adelaide Hills Shiraz ,阿德雷德山设拉子,http://www.petaluma.com.au/,红葡萄酒,,,Petaluma,葡萄之路 ,2008,,,,750,
ASC121,Coonawarra Cabernet Merlot ,库纳瓦拉加本力梅洛,http://www.petaluma.com.au/,红葡萄酒,,,Petaluma,葡萄之路 ,2008,,,,750,
ASC122,Coonawarra Merlot,库纳瓦拉梅洛,http://www.petaluma.com.au/,红葡萄酒,,,Petaluma,葡萄之路 ,2006,,,,750,
ASC123,Petit Bourgeois Sauvignon Blanc ,小老板白苏维翁,http://www.henribourgeois.com/,白葡萄酒,,,HENRI BOURGEOIS ,亨利博卢瓦庄园,2010,,,,750,
ASC124,"Sancerre Blanc ""Les Baronnes"" AOC",桑榭尔男爵,http://www.henribourgeois.com/,白葡萄酒,Sancerre,,HENRI BOURGEOIS ,亨利博卢瓦庄园,2010,,,,750,
ASC125,Pouilly-Fumé AOC,波梅,http://www.henribourgeois.com/,白葡萄酒,Pouilly-Fumé,,HENRI BOURGEOIS ,亨利博卢瓦庄园,2010,,,,750,
ASC126,"Sancerre Blanc ""La Bourgeoise"" AOC",新贵,http://www.henribourgeois.com/,白葡萄酒,Sancerre,,HENRI BOURGEOIS ,亨利博卢瓦庄园,2008,,,,750,
ASC127,Petit Bourgeois Cabernet Franc,小老板加本力佛朗,http://www.henribourgeois.com/,红葡萄酒,,,HENRI BOURGEOIS ,亨利博卢瓦庄园,2010,,,,750,
ASC128,"Chinon ""Domaine Sourdais-Taveau"" AOC",辛农,http://www.henribourgeois.com/,红葡萄酒,Chinon,,HENRI BOURGEOIS ,亨利博卢瓦庄园,2010,,,,750,
ASC129,,,,,,,,,,,,,750,
ASC130,,,,,,,,,,,,,750,
ASC131,,,,,,,,,,,,,750,
ASC132,,,,,,,,,,,,,750,
ASC133,,,,,,,,,,,,,750,
ASC134,,,,,,,,,,,,,750,
ASC135,,,,,,,,,,,,,,
ASC136,,,,,,,,,,,,,,
ASC137,,,,,,,,,,,,,,
ASC138,,,,,,,,,,,,,,
ASC139,,,,,,,,,,,,,,
Champagne001,Krug Grande Cuvée,,http://www.krug.com/en,起泡酒,Champagne,,Krug,,NV,,,,750,
Champagne0002,Krug Rosé,,http://www.krug.com/en,起泡酒,Champagne,,Krug,,NV,,,,750,
Champagne0003,Krug,,http://www.krug.com/en,起泡酒,Champagne,,Krug,,,,,,750,
Champagne0004,Krug Clos du Mesnil,,http://www.krug.com/en,起泡酒,Champagne,,Krug,,2000,,,Chardonnay/100%,750,
Champagne0005,Krug Clos d’Ambonnay,,http://www.krug.com/en,起泡酒,Champagne,,Krug,,1998,,,Pinot Noit/100%,750,
Champagne0006,Krug Collection,,http://www.krug.com/en,起泡酒,Champagne,,Krug,,1998,,,,750,
Champagne0007,Bollinger,,http://www.champagne-bollinger.com/,起泡酒,Champagne,,Bollinger,,,,,,750,
Champagne0008,Dom Perignon,,http://www.domperignon.com/,起泡酒,Champagne,,Dom Perignon,,,,,,750,
Champagne0009,Pol Roger,,http://www.http://www.domperignon.com/,起泡酒,Champagne,,Pol Roger,,,,,,750,
Champagne0010,Louis Roederer ,,http://www.champagne-roederer.com/,起泡酒,Champagne,,Louis Roederer ,,,,,,750,
Champagne0011,Moet & Chandon,,http://www.lvmh.com/,起泡酒,Champagne,,Moet & Chandon,,,,,,750,
Champagne0012,Veuve Cliquot Ponsardin,,http://www.veuve-clicquot.com/,起泡酒,Champagne,,Veuve Cliquot Ponsardin,,,,,,750,
Champagne0013,Codorniu,,http://www.codorniu.es/,起泡酒,Cava,,Codorniu,,,,,,750,
Champagne0014,Freixenet,,http://www.freixenet.com/,起泡酒,Cava,,Freixenet,,,,,,750,
Champagne0014,,,,,,,,,,,,,,
Mercuris001,MAVERICK Australian Terroir Barossa Chardonnay,马华克-巴洛萨干白,http://www.maverickwines.com.au/,白葡萄酒,Barossa,,MAVERICK,马华克,2007,,,,750,
Mercuris0002,MAVERICK Australian Terroir Barossa Shiraz,马华克-巴洛萨干红,http://www.maverickwines.com.au/,红葡萄酒,Barossa,,MAVERICK,马华克,2008,,,,750,
Mercuris0003,MAVERICK Breechens Barossa Chardonnay,马华克-巴洛萨精选干白,http://www.maverickwines.com.au/,白葡萄酒,Barossa,,MAVERICK,马华克,2009,,,,750,
Mercuris0004,MAVERICK Breechens Barossa GSM,马华克-巴洛萨精选干红,http://www.maverickwines.com.au/,红葡萄酒,Barossa,,MAVERICK,马华克,2008,,,,750,
